bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-11-28,681,0.304,0.0675,0.3818,681,0.8,0.2,1.0,2.6319,2.9609,2.6192,0.7,0.4,1.1,2.3029,5.9217,2.8812,0.65,0.35,1.0,2.1384,5.1815,2.6192,0.6,0.4,1.0,1.9739,5.9217,2.6192,0.5,0.2,0.7,1.6449,2.9609,1.8335,0.55,0.3,0.85,1.8094,4.4413,2.2263,0.2,0.0,0.2,0.658,0.0,0.5238,0.3,0.1,0.4,0.987,1.4804,1.0477,0.25,0.05,0.3,0.8225,0.7402,0.7858,0.53,0.0,0.1801,0.263,0.1,0.3743,0.066,0.7,0.4889,0.8209,0.4499,0.3212,0.3131,0.1081,0.141,0.2,0.5521
2025-11-29,500,0.244,0.078,0.34,500,0.8,0.4,1.6,3.2787,5.1282,4.7059,0.9,0.4,1.5,3.6885,5.1282,4.4118,0.75,0.3,1.2,3.0738,3.8462,3.5294,0.8,0.4,1.6,3.2787,5.1282,4.7059,0.9,0.4,1.5,3.6885,5.1282,4.4118,0.75,0.45,1.3,3.0738,5.7692,3.8235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.2049,0.0,0.1471,0.514,0.0,0.1089,0.294,0.1,0.2721,0.08,0.7,0.675,0.87,0.4278,0.3329,0.325,0.0406,0.112,0.2,0.4821
2025-11-30,182,0.2088,0.0495,0.2967,182,0.4,0.2,0.8,1.9158,4.0444,2.6963,0.4,0.2,0.8,1.9158,4.0444,2.6963,0.5,0.3,0.95,2.3947,6.0667,3.2019,0.4,0.2,0.8,1.9158,4.0444,2.6963,0.5,0.3,1.0,2.3947,6.0667,3.3704,0.5,0.3,0.95,2.3947,6.0667,3.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4789,0.0,0.337,0.456,0.0,0.0602,0.302,0.1,0.2545,0.066,0.5,0.5,0.9011,0.4702,0.3618,0.3662,0.0566,0.176,0.4,0.4062
2025-12-01,226,0.2832,0.0929,0.385,226,0.6,0.4,1.2,2.1187,4.3048,3.1172,0.6,0.4,1.1,2.1187,4.3048,2.8575,0.65,0.4,1.15,2.2953,4.3048,2.9874,0.8,0.6,1.6,2.825,6.4571,4.1563,0.6,0.5,1.3,2.1187,5.381,3.377,0.65,0.35,1.1,2.2953,3.7667,2.8575,0.2,0.0,0.2,0.7063,0.0,0.5195,0.2,0.0,0.2,0.7063,0.0,0.5195,0.2,0.1,0.3,0.7063,1.0762,0.7793,0.54,0.0,0.1475,0.265,0.0,0.3,0.084,0.6,0.5263,0.7965,0.4235,0.3261,0.3259,0.1158,0.111,0.4,0.72
2025-12-03,180,0.3111,0.1056,0.4722,180,1.0,0.8,3.0,3.2143,7.5789,6.3529,0.8,0.5,2.0,2.5714,4.7368,4.2353,0.75,0.35,1.45,2.4107,3.3158,3.0706,1.0,0.6,2.4,3.2143,5.6842,5.0824,0.9,0.5,1.9,2.8929,4.7368,4.0235,0.75,0.35,1.45,2.4107,3.3158,3.0706,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3214,0.9474,0.4235,0.15,0.1,0.3,0.4821,0.9474,0.6353,0.544,0.0,0.1939,0.25,0.2,0.2889,0.083,0.5,0.7333,0.7833,0.4803,0.2777,0.2565,0.0842,0.122,0.3,0.5909
2025-12-04,540,0.2722,0.0778,0.3593,540,0.8,0.6,1.4,2.9388,7.7143,3.8969,0.4,0.3,0.7,1.4694,3.8571,1.9485,0.45,0.25,0.7,1.6531,3.2143,1.9485,0.6,0.4,1.0,2.2041,5.1429,2.7835,0.6,0.4,1.0,2.2041,5.1429,2.7835,0.5,0.3,0.8,1.8367,3.8571,2.2268,0.4,0.0,0.4,1.4694,0.0,1.1134,0.4,0.0,0.4,1.4694,0.0,1.1134,0.35,0.0,0.35,1.2857,0.0,0.9742,0.539,0.0,0.1718,0.272,0.1,0.3605,0.057,0.7,0.4839,0.8241,0.4699,0.2549,0.2455,0.0871,0.131,0.2,0.4085
2025-12-05,120,0.1917,0.0417,0.2333,120,0.8,0.0,0.8,4.1739,0.0,3.4286,0.6,0.0,0.6,3.1304,0.0,2.5714,0.3,0.0,0.3,1.5652,0.0,1.2857,0.6,0.0,0.6,3.1304,0.0,2.5714,0.4,0.0,0.4,2.087,0.0,1.7143,0.35,0.0,0.35,1.8261,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.0,0.0566,0.367,0.3,0.2273,0.058,0.3,0.5714,0.85,0.4485,0.1504,0.1489,0.0007,0.133,0.4,0.375
2025-12-06,59,0.2542,0.1356,0.4407,59,0.6,0.2,1.0,2.36,1.475,2.2692,0.4,0.1,0.6,1.5733,0.7375,1.3615,0.5,0.25,0.85,1.9667,1.8438,1.9288,0.4,0.2,0.8,1.5733,1.475,1.8154,0.3,0.1,0.5,1.18,0.7375,1.1346,0.5,0.25,0.85,1.9667,1.8438,1.9288,0.2,0.0,0.2,0.7867,0.0,0.4538,0.2,0.0,0.2,0.7867,0.0,0.4538,0.2,0.05,0.25,0.7867,0.3688,0.5673,0.475,0.0,0.0357,0.322,0.4,0.3684,0.085,0.3,0.8,0.8305,0.4992,0.2932,0.338,0.0878,0.119,0.3,0.4286
2025-12-10,46,0.0652,0.0,0.0652,46,0.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.1,1.5333,,1.5333,0.05,0.0,0.05,0.7667,,0.7667,0.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.1,1.5333,,1.5333,0.05,0.0,0.05,0.7667,,0.7667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.478,0.0,0.0455,0.261,0.3,0.0833,0.109,0.4,0.2,0.9348,0.3501,-0.03,-0.0431,-0.136,0.152,0.3,0.0
2025-12-11,183,0.3115,0.071,0.3989,183,0.2,0.0,0.2,0.6421,0.0,0.5014,0.3,0.0,0.3,0.9632,0.0,0.7521,0.3,0.05,0.35,0.9632,0.7038,0.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.9632,0.0,0.7521,0.25,0.05,0.3,0.8026,0.7038,0.7521,0.2,0.0,0.2,0.6421,0.0,0.5014,0.1,0.0,0.1,0.3211,0.0,0.2507,0.1,0.0,0.1,0.3211,0.0,0.2507,0.53,0.0,0.1649,0.268,0.0,0.4082,0.082,0.7,0.5333,0.7705,0.569,0.0195,0.0195,-0.1156,0.12,0.3,0.5909
