bt_date,n_players,spearman_elfies_v1,spearman_elfies_v1_pval,spearman_elfies_v2,spearman_elfies_v2_pval,spearman_elfies_v3,spearman_elfies_v3_pval,spearman_elfies_v4,spearman_elfies_v4_pval,spearman_elfies_standout,spearman_elfies_standout_pval,hit1_at_07,n_hit1_at_07,hit2_at_15,n_hit2_at_15,calibration_80,mae
2026-01-04,144,0.4353,0.0,0.454,0.0,0.2889,0.0004,0.4353,0.0,0.2602,0.0016,1.0,3,,0,0.8333,0.4669
2026-01-05,167,0.0434,0.5774,0.0572,0.4627,-0.0122,0.8757,0.0434,0.5774,-0.054,0.488,0.5,2,,0,0.8503,0.4468
2026-01-13,455,0.1272,0.0066,0.1414,0.0025,0.1348,0.004,0.1272,0.0066,-0.0155,0.7409,0.0,1,,0,0.8044,0.455
2026-01-14,181,0.3419,0.0,0.3622,0.0,0.1066,0.1533,0.3419,0.0,0.0522,0.4853,1.0,1,,0,0.8508,0.476
2026-01-15,458,0.2462,0.0,0.2626,0.0,0.1169,0.0123,0.2462,0.0,-0.0178,0.7036,1.0,2,,0,0.8384,0.458
2026-01-16,225,0.0886,0.1854,0.1073,0.1086,0.0208,0.7559,0.0886,0.1854,-0.0882,0.1875,,0,,0,0.8178,0.5231
2026-01-17,591,0.3388,0.0,0.3509,0.0,0.2146,0.0,0.3388,0.0,0.1141,0.0055,0.875,8,,0,0.8071,0.5096
2026-01-18,134,0.4095,0.0,0.4248,0.0,0.1985,0.0215,0.4095,0.0,0.1206,0.1652,1.0,1,,0,0.8881,0.4241
2026-01-19,459,0.2568,0.0,0.2588,0.0,0.153,0.001,0.2568,0.0,0.0625,0.1813,0.6,5,,0,0.8649,0.4472
2026-01-20,362,0.2789,0.0,0.2881,0.0,0.0944,0.0728,0.2789,0.0,0.1123,0.0326,0.5714,7,,0,0.8315,0.4724
2026-01-21,272,0.2297,0.0001,0.2344,0.0001,0.1307,0.0311,0.2297,0.0001,0.0173,0.7758,0.5,2,,0,0.864,0.4719
2026-01-22,363,0.3547,0.0,0.3647,0.0,0.1634,0.0018,0.3547,0.0,0.1014,0.0536,,0,,0,0.8595,0.4098
2026-01-23,364,0.2336,0.0,0.2457,0.0,0.0742,0.1579,0.2336,0.0,0.0779,0.1378,0.3333,3,,0,0.7995,0.4391
2026-01-24,407,0.4385,0.0,0.4535,0.0,0.2625,0.0,0.4385,0.0,0.1113,0.0247,0.0,1,,0,0.8354,0.4801
2026-01-25,275,0.1887,0.0017,0.1943,0.0012,0.1492,0.0132,0.1887,0.0017,0.032,0.5977,0.75,4,,0,0.8145,0.5108
2026-01-26,184,0.2544,0.0005,0.2593,0.0004,0.2677,0.0002,0.2544,0.0005,0.011,0.8819,1.0,3,,0,0.8424,0.4967
2026-01-27,453,0.3095,0.0,0.3265,0.0,0.1294,0.0058,0.3095,0.0,0.0894,0.0572,0.3333,3,,0,0.8278,0.438
2026-01-28,137,0.3764,0.0,0.404,0.0,0.1942,0.0229,0.3764,0.0,0.2086,0.0144,1.0,3,,0,0.8686,0.4887
2026-01-29,680,0.3371,0.0,0.3437,0.0,0.1882,0.0,0.3371,0.0,0.095,0.0132,0.6,5,,0,0.8515,0.4675
2026-01-30,46,0.5053,0.0003,0.5182,0.0002,0.4275,0.003,0.5053,0.0003,0.2502,0.0935,1.0,1,,0,0.913,0.4165
2026-01-31,637,0.3444,0.0,0.3573,0.0,0.1923,0.0,0.3444,0.0,0.0895,0.0239,1.0,6,,0,0.8477,0.4463
2026-02-01,180,0.2265,0.0022,0.2428,0.001,0.1209,0.1058,0.2265,0.0022,0.0775,0.3011,0.0,1,,0,0.8333,0.4892
2026-02-02,450,0.3234,0.0,0.3334,0.0,0.1454,0.002,0.3234,0.0,0.073,0.1222,0.5,2,,0,0.8267,0.5093
2026-02-03,273,0.2235,0.0002,0.2343,0.0001,0.1092,0.0717,0.2235,0.0002,0.0708,0.2439,1.0,3,,0,0.8645,0.4935
2026-02-04,689,0.2824,0.0,0.2956,0.0,0.1451,0.0001,0.2824,0.0,0.0427,0.2631,0.4,5,,0,0.8374,0.4584
2026-02-05,58,0.3546,0.0063,0.3692,0.0043,0.2685,0.0416,0.3546,0.0063,0.236,0.0745,0.0,1,,0,0.9138,0.3288
2026-02-06,60,0.3811,0.0027,0.3897,0.0021,0.2912,0.024,0.3811,0.0027,0.3329,0.0093,,0,,0,0.85,0.5061
2026-02-25,363,0.2742,0.0,0.2813,0.0,0.1761,0.0008,0.2742,0.0,0.1059,0.0438,0.75,4,,0,0.8292,0.4631
2026-02-26,542,0.2757,0.0,0.2885,0.0,0.1328,0.0019,0.2757,0.0,0.0505,0.2409,1.0,2,,0,0.8561,0.4354
2026-02-27,181,0.4186,0.0,0.4242,0.0,0.3156,0.0,0.4186,0.0,0.1113,0.1357,,0,,0,0.8343,0.4805
2026-02-28,590,0.2655,0.0,0.2751,0.0,0.1565,0.0001,0.2655,0.0,0.0579,0.1603,0.5,6,,0,0.8322,0.4541
2026-03-01,590,0.2908,0.0,0.3014,0.0,0.1315,0.0014,0.2908,0.0,0.0885,0.0316,0.6667,3,,0,0.8407,0.4435
2026-03-02,319,0.2744,0.0,0.2756,0.0,0.1918,0.0006,0.2744,0.0,0.0493,0.3803,0.6667,3,,0,0.8715,0.4653
2026-03-03,497,0.2557,0.0,0.2758,0.0,0.0985,0.0281,0.2557,0.0,-0.022,0.6249,0.75,4,,0,0.8431,0.4649
2026-03-04,99,0.1264,0.2125,0.138,0.1732,0.1678,0.0969,0.1264,0.2125,-0.0172,0.8658,,0,,0,0.8182,0.5014
2026-03-05,107,0.4433,0.0,0.466,0.0,0.211,0.0292,0.4433,0.0,0.2844,0.003,1.0,1,,0,0.8692,0.455
2026-03-13,92,0.198,0.0585,0.2042,0.0508,0.0403,0.7026,0.198,0.0585,0.052,0.6224,,0,,0,0.8804,0.4853
2026-03-14,661,0.2667,0.0,0.2666,0.0,0.1807,0.0,0.2667,0.0,0.0982,0.0116,0.8,5,,0,0.8517,0.424
2026-03-15,287,0.2615,0.0,0.267,0.0,0.1617,0.006,0.2615,0.0,0.1118,0.0584,1.0,1,,0,0.8258,0.4513
2026-03-16,238,0.3431,0.0,0.3443,0.0,0.2596,0.0001,0.3431,0.0,0.114,0.0793,,0,,0,0.8403,0.4591
2026-03-17,420,0.2212,0.0,0.2298,0.0,0.1184,0.0152,0.2212,0.0,-0.0066,0.8922,,0,,0,0.8405,0.4706
2026-03-18,291,0.2846,0.0,0.2857,0.0,0.1774,0.0024,0.2846,0.0,0.0701,0.233,0.5,2,,0,0.8591,0.4165
2026-03-19,522,0.3371,0.0,0.332,0.0,0.2936,0.0,0.3371,0.0,0.1972,0.0,1.0,3,,0,0.8716,0.4014
2026-03-20,239,0.2072,0.0013,0.2191,0.0006,0.0852,0.1894,0.2072,0.0013,0.0887,0.1717,0.25,4,,0,0.8243,0.4344
2026-03-21,527,0.4257,0.0,0.4286,0.0,0.3054,0.0,0.4257,0.0,0.2735,0.0,1.0,3,,0,0.8634,0.3541
2026-03-22,430,0.2776,0.0,0.2848,0.0,0.1989,0.0,0.2776,0.0,0.1155,0.0166,0.0,2,,0,0.8465,0.4168
2026-03-23,50,0.2313,0.1061,0.2408,0.0921,0.1744,0.2258,0.2313,0.1061,0.3753,0.0072,,0,,0,0.88,0.363
2026-03-24,720,0.3637,0.0,0.3687,0.0,0.2444,0.0,0.3637,0.0,0.158,0.0,1.0,3,,0,0.8444,0.3974
2026-03-25,100,0.3037,0.0021,0.3022,0.0022,0.2081,0.0377,0.3037,0.0021,0.0828,0.413,,0,,0,0.86,0.4607
2026-03-26,629,0.3174,0.0,0.3293,0.0,0.2019,0.0,0.3174,0.0,0.1126,0.0047,0.6,5,,0,0.8712,0.4114
2026-03-27,100,0.3722,0.0001,0.3756,0.0001,0.2754,0.0056,0.3722,0.0001,0.314,0.0015,,0,,0,0.82,0.4143
2026-03-28,728,0.3589,0.0,0.3674,0.0,0.2694,0.0,0.3589,0.0,0.2047,0.0,0.5,4,,0,0.8393,0.4245
2026-03-29,289,0.2649,0.0,0.2696,0.0,0.1559,0.0079,0.2649,0.0,0.0674,0.2532,0.6667,3,,0,0.8374,0.4584
2026-03-30,243,0.347,0.0,0.3458,0.0,0.2757,0.0,0.347,0.0,0.1132,0.0783,,0,,0,0.7654,0.5761
2026-03-31,496,0.3698,0.0,0.3783,0.0,0.2929,0.0,0.3698,0.0,0.1606,0.0003,0.6667,3,,0,0.8528,0.4398
2026-04-01,225,0.2518,0.0001,0.2734,0.0,0.1336,0.0454,0.2518,0.0001,0.0479,0.4751,0.0,4,,0,0.84,0.4649
2026-04-02,448,0.2244,0.0,0.2392,0.0,0.0778,0.1002,0.2244,0.0,-0.0056,0.9063,1.0,1,,0,0.8125,0.4865
2026-04-03,228,0.2335,0.0004,0.2556,0.0001,0.0788,0.2359,0.2335,0.0004,-0.016,0.8097,,0,,0,0.8026,0.5212
2026-04-04,746,0.3295,0.0,0.3396,0.0,0.209,0.0,0.3295,0.0,0.1431,0.0001,0.6,5,,0,0.8324,0.458
2026-04-05,114,0.3813,0.0,0.4095,0.0,0.3188,0.0005,0.3813,0.0,0.1976,0.0351,,0,,0,0.9035,0.3601
2026-04-06,60,0.3783,0.0029,0.3854,0.0024,0.2332,0.0729,0.3783,0.0029,0.0891,0.4982,,0,,0,0.8667,0.3929
2026-04-13,517,0.2846,0.0,0.2958,0.0,0.1599,0.0003,0.2846,0.0,0.1339,0.0023,0.0,1,,0,0.8549,0.4085
2026-04-14,474,0.279,0.0,0.2847,0.0,0.1799,0.0001,0.279,0.0,0.1634,0.0004,0.0,1,,0,0.8565,0.406
2026-04-15,316,0.2339,0.0,0.2321,0.0,0.2274,0.0,0.2339,0.0,0.2249,0.0001,0.6667,3,,0,0.8038,0.4704
2026-04-16,304,0.3184,0.0,0.3138,0.0,0.1815,0.0015,0.3184,0.0,0.121,0.035,1.0,1,,0,0.8355,0.4261
