bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-11-22,542,0.2749,0.0627,0.3524,542,0.2,0.0,0.2,0.7275,0.0,0.5675,0.5,0.2,0.7,1.8188,3.1882,1.9864,0.75,0.15,0.9,2.7282,2.3912,2.5539,0.8506,0.4317,0.3207,0.3045,0.0757
2025-11-23,275,0.16,0.0218,0.1855,275,0.6,0.0,0.6,3.75,0.0,3.2353,0.6,0.1,0.7,3.75,4.5833,3.7745,0.5,0.1,0.6,3.125,4.5833,3.2353,0.9127,0.396,0.3259,0.3169,0.1765
2025-11-24,313,0.262,0.0735,0.361,313,0.8,0.4,1.4,3.0537,5.4435,3.8779,0.7,0.4,1.2,2.672,5.4435,3.3239,0.55,0.3,0.95,2.0994,4.0826,2.6314,0.8339,0.4482,0.2576,0.2526,0.0607
2025-11-25,45,0.4889,0.1556,0.7111,45,1.0,0.2,1.4,2.0455,1.2857,1.9687,0.7,0.1,0.9,1.4318,0.6429,1.2656,0.6,0.1,0.75,1.2273,0.6429,1.0547,0.7333,0.6805,0.2671,0.2622,0.0915
2025-11-26,682,0.2933,0.066,0.371,682,0.2,0.0,0.2,0.682,0.0,0.5391,0.6,0.3,0.9,2.046,4.5467,2.4261,0.65,0.4,1.1,2.2165,6.0622,2.9652,0.8226,0.4402,0.2936,0.2804,0.1004
2025-11-28,681,0.304,0.0675,0.3818,681,0.6,0.4,1.0,1.9739,5.9217,2.6192,0.8,0.4,1.2,2.6319,5.9217,3.1431,0.7,0.35,1.05,2.3029,5.1815,2.7502,0.8267,0.4477,0.3238,0.3117,0.0639
2025-11-29,500,0.244,0.078,0.34,500,0.8,0.4,1.6,3.2787,5.1282,4.7059,0.8,0.2,1.2,3.2787,2.5641,3.5294,0.65,0.25,1.05,2.6639,3.2051,3.0882,0.864,0.4274,0.3346,0.327,0.0252
2025-11-30,182,0.2088,0.0495,0.2967,182,0.4,0.2,0.8,1.9158,4.0444,2.6963,0.2,0.1,0.4,0.9579,2.0222,1.3481,0.45,0.3,1.0,2.1553,6.0667,3.3704,0.9066,0.4745,0.3453,0.3407,0.0551
2025-12-01,226,0.2832,0.0929,0.385,226,0.6,0.4,1.2,2.1187,4.3048,3.1172,0.6,0.4,1.1,2.1187,4.3048,2.8575,0.65,0.4,1.15,2.2953,4.3048,2.9874,0.7965,0.4188,0.3638,0.3524,0.1684
2025-12-03,180,0.3111,0.1056,0.4722,180,1.0,0.8,2.8,3.2143,7.5789,5.9294,0.7,0.5,1.9,2.25,4.7368,4.0235,0.65,0.35,1.35,2.0893,3.3158,2.8588,0.7722,0.4929,0.2696,0.256,0.0726
2025-12-04,540,0.2722,0.0778,0.3593,540,0.8,0.6,1.4,2.9388,7.7143,3.8969,0.5,0.3,0.8,1.8367,3.8571,2.2268,0.4,0.2,0.6,1.4694,2.5714,1.6701,0.813,0.4718,0.2413,0.2289,0.0859
2025-12-05,120,0.1917,0.0417,0.2333,120,0.6,0.0,0.6,3.1304,0.0,2.5714,0.5,0.0,0.5,2.6087,0.0,2.1429,0.35,0.0,0.35,1.8261,0.0,1.5,0.85,0.4345,0.1698,0.1608,0.0261
2025-12-06,59,0.2542,0.1356,0.4407,59,0.6,0.2,1.0,2.36,1.475,2.2692,0.4,0.1,0.6,1.5733,0.7375,1.3615,0.55,0.25,0.9,2.1633,1.8438,2.0423,0.8305,0.4879,0.2944,0.2887,0.0262
