bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-11-04,246,0.248,0.061,0.3171,246,0.4,0.2,0.6,1.6131,3.28,1.8923,0.5,0.1,0.6,2.0164,1.64,1.8923,0.55,0.1,0.65,2.218,1.64,2.05,0.4,0.2,0.6,1.6131,3.28,1.8923,0.3,0.1,0.4,1.2098,1.64,1.2615,0.45,0.1,0.55,1.8148,1.64,1.7346,0.2,0.0,0.2,0.8066,0.0,0.6308,0.2,0.0,0.2,0.8066,0.0,0.6308,0.25,0.0,0.25,1.0082,0.0,0.7885,0.5,0.0,0.1463,0.289,0.1,0.2958,0.089,0.8,0.4545,0.8699,0.3854,0.3602,0.3444,0.1536,0.122,0.1,0.4
2025-11-05,123,0.1545,0.0407,0.2033,123,0.6,0.0,0.6,3.8842,0.0,2.952,0.4,0.0,0.4,2.5895,0.0,1.968,0.35,0.0,0.35,2.2658,0.0,1.722,0.6,0.0,0.6,3.8842,0.0,2.952,0.4,0.0,0.4,2.5895,0.0,1.968,0.35,0.0,0.35,2.2658,0.0,1.722,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.6474,0.0,0.492,0.1,0.0,0.1,0.6474,0.0,0.492,0.455,0.1,0.0893,0.35,0.4,0.093,0.081,0.3,0.3,0.9106,0.2562,0.2774,0.2769,0.1128,0.114,0.2,0.5
2025-11-10,727,0.293,0.088,0.403,727,1.0,0.2,1.4,3.4131,2.2719,3.4737,0.8,0.2,1.1,2.7305,2.2719,2.7294,0.55,0.15,0.75,1.8772,1.7039,1.8609,0.8,0.2,1.2,2.7305,2.2719,2.9775,0.5,0.1,0.7,1.7066,1.1359,1.7369,0.55,0.15,0.75,1.8772,1.7039,1.8609,0.6,0.0,0.6,2.0479,0.0,1.4887,0.3,0.0,0.3,1.0239,0.0,0.7444,0.25,0.05,0.3,0.8533,0.568,0.7444,0.503,0.0,0.1585,0.276,0.1,0.3582,0.072,0.6,0.5962,0.8239,0.4981,0.2626,0.2564,0.0586,0.149,0.3,0.4815
2025-11-11,409,0.2494,0.0465,0.3081,409,0.6,0.2,0.8,2.4059,4.3053,2.5968,0.6,0.2,0.9,2.4059,4.3053,2.9214,0.5,0.1,0.65,2.0049,2.1526,2.1099,0.6,0.0,0.6,2.4059,0.0,1.9476,0.6,0.1,0.7,2.4059,2.1526,2.2722,0.55,0.1,0.7,2.2054,2.1526,2.2722,0.2,0.0,0.2,0.802,0.0,0.6492,0.1,0.0,0.1,0.401,0.0,0.3246,0.05,0.0,0.05,0.2005,0.0,0.1623,0.467,0.0,0.089,0.311,0.0,0.3228,0.073,0.6,0.5333,0.8606,0.4997,0.2367,0.2327,-0.018,0.149,0.4,0.459
2025-11-12,588,0.3078,0.102,0.4456,588,0.8,0.4,1.6,2.5989,3.92,3.5908,0.7,0.2,1.1,2.274,1.96,2.4687,0.6,0.2,0.9,1.9492,1.96,2.0198,0.8,0.4,1.6,2.5989,3.92,3.5908,0.7,0.3,1.3,2.274,2.94,2.9176,0.75,0.25,1.15,2.4365,2.45,2.5809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.1624,0.0,0.1122,0.469,0.0,0.1413,0.306,0.0,0.3889,0.065,0.4,0.6053,0.8027,0.5196,0.2757,0.2822,0.0365,0.16,0.6,0.5213
2025-11-13,453,0.3377,0.0927,0.4592,453,1.0,0.6,1.6,2.9608,6.4714,3.4846,0.8,0.5,1.5,2.3686,5.3929,3.2668,0.8,0.35,1.3,2.3686,3.775,2.8312,1.0,0.4,1.8,2.9608,4.3143,3.9202,0.9,0.5,1.7,2.6647,5.3929,3.7024,0.85,0.4,1.4,2.5167,4.3143,3.049,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.5922,0.0,0.4356,0.15,0.0,0.15,0.4441,0.0,0.3267,0.494,0.0,0.1741,0.269,0.0,0.4344,0.075,0.7,0.6176,0.8278,0.4987,0.3045,0.2951,0.0726,0.161,0.3,0.5479
2025-11-14,182,0.2363,0.0659,0.3352,182,0.2,0.0,0.2,0.8465,0.0,0.5967,0.5,0.0,0.5,2.1163,0.0,1.4918,0.4,0.0,0.4,1.693,0.0,1.1934,0.4,0.0,0.4,1.693,0.0,1.1934,0.6,0.0,0.6,2.5395,0.0,1.7902,0.45,0.0,0.45,1.9047,0.0,1.3426,0.2,0.2,0.4,0.8465,3.0333,1.1934,0.2,0.1,0.3,0.8465,1.5167,0.8951,0.1,0.05,0.15,0.4233,0.7583,0.4475,0.511,0.2,0.086,0.264,0.1,0.2917,0.06,0.3,0.4545,0.8626,0.4814,0.2944,0.2891,0.0426,0.165,0.4,0.5333
2025-11-15,590,0.2288,0.0441,0.2831,590,0.8,0.4,1.4,3.4963,9.0769,4.9461,0.7,0.3,1.1,3.0593,6.8077,3.8862,0.7,0.25,1.05,3.0593,5.6731,3.7096,0.8,0.4,1.2,3.4963,9.0769,4.2395,0.8,0.6,1.6,3.4963,13.6154,5.6527,0.75,0.35,1.25,3.2778,7.9423,4.4162,0.4,0.0,0.4,1.7481,0.0,1.4132,0.4,0.0,0.4,1.7481,0.0,1.4132,0.4,0.05,0.45,1.7481,1.1346,1.5898,0.481,0.0,0.1232,0.295,0.0,0.2011,0.063,0.4,0.5676,0.8644,0.4608,0.3185,0.3151,0.1116,0.161,0.6,0.4632
2025-11-16,226,0.2566,0.031,0.2965,226,0.6,0.2,0.8,2.3379,6.4571,2.6985,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.6,0.2,0.8,2.3379,6.4571,2.6985,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.55,0.15,0.7,2.1431,4.8429,2.3612,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3897,0.0,0.3373,0.05,0.0,0.05,0.1948,0.0,0.1687,0.531,0.0,0.0917,0.243,0.1,0.3273,0.053,0.6,0.75,0.8805,0.3752,0.3598,0.3425,0.0817,0.173,0.3,0.5128
2025-11-17,273,0.3114,0.0659,0.3846,273,0.8,0.4,1.4,2.5694,6.0667,3.64,0.7,0.3,1.1,2.2482,4.55,2.86,0.55,0.25,0.85,1.7665,3.7917,2.21,0.6,0.4,1.2,1.9271,6.0667,3.12,0.7,0.4,1.2,2.2482,6.0667,3.12,0.6,0.3,0.95,1.9271,4.55,2.47,0.6,0.2,0.8,1.9271,3.0333,2.08,0.4,0.2,0.6,1.2847,3.0333,1.56,0.2,0.1,0.3,0.6424,1.5167,0.78,0.527,0.0,0.1806,0.231,0.0,0.3968,0.073,0.7,0.6,0.8242,0.4194,0.3001,0.2995,0.1641,0.168,0.3,0.4783
