game_id,team,opponent,player_id,name,date,minutes,points,goals,assists,home_or_away,shots_on_goal,power_play_assists,power_play_goals,goal_tending_goals_against
23996,CGY,STL,30004089,Joel Farabee,2025-10-11,21,1.0,0.0,1.0,1,2.0,1.0,0.0,0.0
23996,CGY,STL,30004162,Kevin Bahl,2025-10-11,20,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30001133,Rasmus Andersson,2025-10-11,23,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0
23996,CGY,STL,30006510,Matvei Gridin,2025-10-11,13,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23996,CGY,STL,30006494,Zayne Parekh,2025-10-11,17,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0
23996,CGY,STL,30004190,Yegor Sharangovich,2025-10-11,16,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0
23996,CGY,STL,30004823,Connor Zary,2025-10-11,10,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0
23996,CGY,STL,30004665,Dustin Wolf,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,4.0
23996,CGY,STL,30005595,Adam Klapka,2025-10-11,12,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30002217,Ryan Lomberg,2025-10-11,6,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30004310,Brayden Pachal,2025-10-11,10,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23996,CGY,STL,30006084,Samuel Honzek,2025-10-11,13,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0
23996,CGY,STL,30001248,Joel Hanley,2025-10-11,17,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30004791,Devin Cooley,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30003145,Jake Bean,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30002595,Justin Kirkland,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30004925,Daniil Miromanov,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30003656,Morgan Frost,2025-10-11,18,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,CGY,STL,30000311,Blake Coleman,2025-10-11,15,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0
23996,CGY,STL,30000237,MacKenzie Weegar,2025-10-11,25,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0
23996,CGY,STL,30000103,Mikael Backlund,2025-10-11,14,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23996,STL,CGY,30004812,Jake Neighbours,2025-10-11,14,2.0,2.0,0.0,0,3.0,0.0,0.0,0.0
